x,y,kelas
-0.22107565,2.588921,0.0
-1.0335196,2.0827794,0.0
0.5928234,2.8138971,0.0
-0.6005245,2.4565752,0.0
0.4089311,2.8192837,0.0
-0.65677327,0.628199,0.0
0.64658755,4.241256,0.0
0.33934024,4.578276,0.0
-0.63456184,2.0880582,0.0
1.0621382,3.8738115,0.0
-0.8717812,1.5164752,0.0
0.31681237,5.0478945,0.0
-0.076768674,3.5447667,0.0
1.0557886,4.5580506,0.0
1.1374391,4.9302883,0.0
-1.6366525,1.0112184,0.0
-0.25532052,1.9637908,0.0
-1.4540358,2.4336097,0.0
1.6553243,4.3697305,0.0
-0.24393386,3.507442,0.0
-0.09475688,2.6043036,0.0
1.0539303,3.3921437,0.0
0.69761246,2.858603,0.0
0.20800222,4.4071593,0.0
0.4544697,3.544077,0.0
-0.041400384,1.761204,0.0
0.15066507,3.2059963,0.0
-0.078940295,4.262026,0.0
-0.0047089052,2.862736,0.0
-0.8026694,2.0816703,0.0
1.0212327,4.664601,0.0
0.9788,2.4780128,0.0
0.4969124,2.443877,0.0
-0.4604688,2.7588663,0.0
1.6811515,3.8177211,0.0
0.231211,1.9060045,0.0
0.5002845,4.3668528,0.0
-0.41495794,3.7326634,0.0
2.5157425,3.203851,0.0
-1.4182286,0.969338,0.0
0.7293964,3.244117,0.0
-1.2888309,1.784035,0.0
-0.19341746,3.1817837,0.0
-0.39846173,3.2281635,0.0
1.4071935,3.13821,0.0
1.212557,4.6368065,0.0
0.3994424,5.145313,0.0
0.11356846,1.9585458,0.0
-0.68698597,1.3660417,0.0
0.3697893,3.3538451,0.0
-1.5396163,2.4335623,0.0
-0.3427263,2.6024702,0.0
-1.0016872,3.2387717,0.0
-0.2845283,2.490255,0.0
1.1244222,3.8555312,0.0
-0.5043305,3.108034,0.0
0.09515766,2.9229276,0.0
1.4628153,1.3894277,0.0
-1.739307,1.9923507,0.0
0.26713023,3.5459433,0.0
-0.55068684,2.4044964,0.0
0.22582069,3.0247095,0.0
0.03715673,3.1163,0.0
-0.7061128,-0.14274007,0.0
0.42662302,2.4383662,0.0
-1.6242371,1.9885472,0.0
-0.49989215,2.059033,0.0
-1.1011113,2.8383641,0.0
1.9611121,4.035691,0.0
-0.57574767,3.2418277,0.0
1.6026608,2.8676872,0.0
-0.03001633,1.0244497,0.0
1.2806505,4.0022764,0.0
-0.72865504,1.2825147,0.0
0.2430233,3.4213495,0.0
0.060401913,4.466844,0.0
0.13146318,2.2612224,0.0
-1.1667846,3.0741444,0.0
0.43668282,4.2560096,0.0
1.3660617,3.5306838,0.0
1.3036107,3.2423623,0.0
0.5324097,2.5431862,0.0
-0.42570308,3.0510712,0.0
0.75162536,2.5037932,0.0
0.7272073,3.771694,0.0
-0.7314194,2.530705,0.0
-1.4097781,-0.20621851,0.0
0.046043556,2.737667,0.0
0.65698665,3.2976985,0.0
0.03598393,3.9371881,0.0
0.3356349,3.2140262,0.0
-0.17585157,3.735671,0.0
0.599033,2.7855024,0.0
0.757397,6.3858542,0.0
0.7633838,4.0025234,0.0
1.233918,3.3748355,0.0
0.5556141,2.0325027,0.0
2.0392146,5.6791663,0.0
-0.3877013,3.967435,0.0
-0.099962324,2.2754097,0.0
-1.2607493,2.9314537,0.0
0.4596456,3.1325145,0.0
-1.6667223,3.6057494,0.0
0.32441103,4.5086603,0.0
-0.33087188,1.7222873,0.0
-0.35263476,2.383006,0.0
0.20351218,3.2146575,0.0
1.5473243,3.5700097,0.0
-1.1303232,0.62913847,0.0
-1.3137093,1.4803382,0.0
0.8669473,3.2720692,0.0
0.056759156,1.6642444,0.0
-1.9778706,2.1406515,0.0
-1.1534777,3.0019863,0.0
-0.47846764,1.2074072,0.0
0.7489296,2.4044013,0.0
-0.032630306,3.3451068,0.0
-1.2670355,1.4835157,0.0
-0.388363,2.6102736,0.0
-0.78594816,2.71375,0.0
-0.081290394,2.789837,0.0
-0.94778943,2.7756822,0.0
-0.69399416,3.298596,0.0
0.8272409,3.0264847,0.0
-0.2406986,2.3913105,0.0
-1.1737667,2.9545395,0.0
-0.96493596,0.71801734,0.0
0.58450085,3.016169,0.0
-0.14640807,2.1593695,0.0
0.008384162,3.0358396,0.0
-0.5561514,2.272664,0.0
-0.54447794,3.3535671,0.0
0.016708821,0.7916616,0.0
-0.75757563,3.7864108,0.0
-1.124152,2.907378,0.0
0.7386798,3.1889405,0.0
1.3194301,3.2766104,0.0
-0.18479376,2.8758225,0.0
-0.26811567,4.641036,0.0
-1.6239178,1.8761169,0.0
0.47153577,2.74057,0.0
-0.51118904,2.1167908,0.0
1.0594754,5.1405363,0.0
0.7669473,3.0615938,0.0
0.4678292,2.8493047,0.0
0.8611518,2.440788,0.0
0.31348747,3.0800145,0.0
0.28453085,2.635662,0.0
-0.71933573,3.2966423,0.0
-0.23630619,3.061007,0.0
-0.92092454,2.4551756,0.0
-0.7113605,1.0637232,0.0
0.39190552,3.6180198,0.0
-0.9390007,2.274112,0.0
-0.28679794,2.3123221,0.0
1.3038777,3.8368876,0.0
-0.7838505,2.1953773,0.0
-0.8131317,1.893789,0.0
-0.8824062,2.8013427,0.0
-1.3006043,3.8501947,0.0
-0.63925683,2.766071,0.0
-0.6656279,1.8588215,0.0
1.4519733,3.6187358,0.0
1.3825482,4.386585,0.0
-1.6084148,4.641652,0.0
-1.1730117,1.9454566,0.0
-1.6518742,2.608281,0.0
0.9137612,3.928995,0.0
-2.6402078,1.2238075,0.0
-0.5142691,2.6395032,0.0
-0.43958616,2.553222,0.0
0.6884021,4.142433,0.0
-0.078454725,1.8410913,0.0
1.3168955,5.320906,0.0
-0.013925324,3.1154025,0.0
-0.108111784,3.3741927,0.0
2.57046,4.854896,0.0
0.13789032,4.8635545,0.0
-0.43250123,1.4374416,0.0
2.2442036,4.5119944,0.0
0.44577837,4.7166195,0.0
1.0429378,1.5892116,0.0
0.098423295,2.6025412,0.0
-0.6580705,3.0657487,0.0
0.501541,2.9385343,0.0
1.9847869,2.5343306,0.0
0.008879965,1.4248676,0.0
0.6735596,3.7218618,0.0
0.52192813,4.43466,0.0
-1.3678085,2.2809868,0.0
0.6126257,3.699068,0.0
-0.46832335,2.5649226,0.0
-0.1153578,2.6937997,0.0
